,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
677470,PwC,2016-05-07, ,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3.0,5.0,,5.0,2.0,4.0,o,o,o,"Good job, average pay","- Great people, great work, great clients",- Remuneration is terrible considering what is expected of you
680173,PwC,2017-03-17, Advisory Partner,"Former Employee, more than 8 years","Hampton, Victoria, Victoria",2,1.0,2.0,,4.0,4.0,1.0,o,x,r,Many  fantastic people. But most senior partners are truly toxic and self serving,"Vibrant, intellectually stimulating, important work with great people 

Good list of clients, diverse set of opportunities,  lots of different teams

Activity based offices work well",The whole system is set up so that senior partners can claim the lions share of the pie for doing as little as possible
680180,PwC,2017-03-17, Transfer Pricing Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,,,,,,,o,o,o,Transfer Pricing,"- Good training
- Nice office
- Relaxed environment","- Long hours
- Poor culture"
680264,PwC,2017-03-28, Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2.0,3.0,,4.0,3.0,2.0,x,r,x,Consultant,"- Great people
- Great opportunities
- Good team events and workshops","- Mentally straining work, PwC expects you to give 100% of your effort including some late nights
- Wage is considerably low compared to your expected effort, expertise and commitment"
681208,PwC,2017-07-10, Senior Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,2.0,5.0,,5.0,3.0,4.0,v,v,o,Senior Consultant,Learning opportunities and Industy exposure and Culture,Ability to recruit due to the national model
681251,PwC,2017-07-17, Anonymous Employee,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,4.0,4.0,,4.0,4.0,4.0,v,r,v,Dream higher,For I can build a new folder in your company which is moulded with the high updated course in technology.,I haven't got experience at the moments
682054,PwC,2017-10-10, Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3.0,4.0,,5.0,3.0,3.0,v,v,v,Management Consultant,"Experience, training, mentoring, work relevance","Long hours, politics, doing projects you don't want to"
683542,PwC,2018-03-12, Graduate,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4.0,4.0,,5.0,3.0,4.0,o,o,o,Graduate - Audit & Assurance,High quality resources always available working in a large firm.  Access to large companies and working with high ranking corporate clients from early on.  Collaborative working space broke down barriers between junior and senior staff.,"If you don't get placed on one or two large clients, can end up getting thrown around doing bits and pieces with no continuity, which i found in audit hindered your learning ability."
683750,PwC,2018-04-03, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,3.0,1.0,,3.0,1.0,3.0,v,v,v,Snr con assurance,"Flexible working conditions 
Exposure to big clients","Bad pay package 
Over worked"
686328,PwC,2019-01-09, Senior Consultant,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",4,2.0,3.0,,4.0,2.0,2.0,x,x,x,,Great learning opportunity for a graduate,"No work life balance, Pay is poor for the hours worked"
686653,PwC,2019-02-13, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,5.0,5.0,,4.0,5.0,5.0,v,v,x,Great company to work for,"Learning and development
Work life balance",Progression opportunities can be limited
687363,PwC,2019-04-28, Financial Advisor,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,5.0,5.0,,4.0,4.0,5.0,o,o,o,Great Place,Great place to work for very family oriented.,I can't think of any cons at the moment
688474,PwC,2019-08-05, Manager,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,4.0,4.0,,4.0,4.0,4.0,v,v,v,Good,Good People in my Team,Salary is not competitive with Market standards
688479,PwC,2019-08-05, Tax Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,4.0,3.0,,3.0,3.0,2.0,o,o,o,Pros and Cons,Flexible working. Training provided etc,Underpaid and below market rate
688508,PwC,2019-08-08, Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3.0,3.0,,3.0,2.0,3.0,v,r,r,Mixed feelings,"Flexible working, great reputation and brand, good training, generally good culture across firm, a lot of young people","Fairly high turnover of staff in tax team, low salary for juniors, barriers between juniors and seniors/partners in tax team, culture in team currently low"
690035,PwC,2020-01-06, Accountant,"Current Employee, more than 1 year","Mona Vale, New South Wales, New South Wales",3,,,,,,,o,o,o,good,good and very well awesome,"Far from city, overwork, low pay"
690268,PwC,2020-01-24, Associate,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,3.0,5.0,v,v,v,PwC associate,Great work culture and positive support through out the firm.,Starting salary may not represent the work load you have.
690710,PwC,2020-03-05, Vacationer,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Loved my time at PwC and cant wait to come back,"Friendly 
Approachable staff from juniors to the partners. 
Hot desking actually works at PwC and is for all staff including the partners.
Flexible working & understanding of peoples out of work commitments.
Great ongoing training and support","$$$
Can have periods of intense work and long hours
I don’t have anything else negative to say"
691015,PwC,2020-04-14, Economist,Former Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Good place to start your professional career,Great place to learn how to work. Interesting projects and clients.,Wages. Amount of work in peak period.
691550,PwC,2020-06-07, Manager,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,2.0,5.0,,4.0,3.0,3.0,o,o,v,Manager at PwC,"good benefits, interesting work, opportunties in social impact","Long hours, culture sometimes is brutal"
691817,PwC,2020-06-29, Senior Manager,Current Employee,"Perth, Western Australia, Western Australia",3,4.0,3.0,,2.0,2.0,1.0,x,o,v,Beaureaucratic,Good work and team culture,They dont pay well compared to industry
693055,PwC,2020-09-15, Audit,Former Employee,"Victoria, BC",4,,,,,,,o,o,o,GOOD,Smart ppl to work with,Long hours from Jan- April.
694014,PwC,2020-10-21, Manager,Current Employee,"Perth, Western Australia, Western Australia",3,4.0,3.0,3.0,3.0,3.0,3.0,v,r,v,PwC,"Flexible working, technical learning and brand name","Internal politics, incompetence in some staff"
694286,PwC,2020-11-01, Tax Advisor,Current Employee,"Perth, Western Australia, Western Australia",4,2.0,4.0,4.0,4.0,2.0,4.0,v,v,v,Good learning opportunity - low pay,"Great and fun environment to learn quickly, surrounded by youthful and vibrant team",Poor pay so would recommend seeking employment elsewhere after 2-3 years.
694562,PwC,2020-11-13, Microsoft Dynamics 365 F & O Functional Consultant,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Review,"Good company that takes care of it's people, great culture and drive for continuous learning.","Nothing much really, fingers crossed you get a manager that cares as much for your career development like you do."
696930,PwC,2021-01-26, Senior Manager,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Decent place to work,Good benefits and generally nice people,Churn of junior staff members
697878,PwC,2021-02-17, Internal Auditor,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,3.0,3.0,3.0,3.0,3.0,3.0,v,o,v,good,very good and helpful employer,nothing. very good experience altogether
698878,PwC,2021-03-11, Senior Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,*,Comes with wellness and health benefits,Long working hours and intense workload
699595,PwC,2021-03-29, Senior Accountant,"Former Employee, more than 8 years","Perth, Western Australia, Western Australia",5,1.0,3.0,3.0,5.0,3.0,3.0,v,r,v,Great opportunities.,Great opportunities on large clients.,Nil work life balance. Not ideal for working parents
699676,PwC,2021-03-31, Management Consultant Associate,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3.0,4.0,4.0,4.0,3.0,3.0,v,v,v,Great firm,Diverse project and industry experience,Culture is driven around getting promoted away from solving problems
699862,PwC,2021-04-06, Graduate Accounting Position,Current Employee,"Perth, Western Australia, Western Australia",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,r,Great scheme to train new fellows,"Various resource is available when needed, strong team support from different industries.","Intensive working schedule, high demand of good time management and numerical skills."
702277,REED,2017-12-18, Business Manager,"Current Employee, more than 8 years","Olympic Park, New South Wales",4,4.0,4.0,,5.0,3.0,3.0,v,v,v,Reed has given me so many Opportunities to grow my career,Reed are still a family business which I love - the development opportunities the business offers are fantastic.,If you don't to be in a corporate environment then I would say this isn't the business for you.
703888,RSM,2018-03-04, Manager,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",3,4.0,3.0,,4.0,2.0,3.0,o,o,v,Ok,"Generally a good environment 
Worked with a great team",low pay with very poor growth in salary
704030,RSM,2018-09-29, Anonymous Employee,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",4,4.0,3.0,,3.0,3.0,3.0,v,v,r,Overall a positive experience.,"Supportive environment, acknowledged the importance of family commitments which was significant as a working parent.

Personal goals, such as completion of post-graduate studies also encouraged and supported.","Favouritism amongst managers with work often being distributed to the favoured few rather than according to current capacity.

Lack of support in achieving some goals set during annual review process."
704235,RSM,2019-08-07, Senior Accountant,"Former Employee, more than 8 years","Perth, Western Australia, Western Australia",3,2.0,2.0,,1.0,1.0,2.0,x,r,r,Good place to complete your CA program and move on.,Worked with a great bunch of people. Good CA program.,The pay!! RSM are one of the worst paying firms in the industry. Management too set in their ways!
704242,RSM,2019-08-14, Audit Senior,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",4,2.0,3.0,,4.0,3.0,2.0,o,o,o,Great start to an accounting career,"People you work with
Chartered Accountant degree support
Secondment opportunities",Salary is lower than market and work hours are long most of the year
704418,RSM,2020-03-23, Paraplanner,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4.0,4.0,,4.0,4.0,4.0,v,o,v,Employment at RSM Australia,A great place to be a part of that is globally recognised,No cons that I can think of
704482,RSM,2020-06-01, Graduate Auditor,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Great,"Work, people, balance, opportunities, office",Nothing really seams great so far
704541,RSM,2020-07-22, Supervisor,"Former Employee, more than 5 years","Guildford, Western Australia, Western Australia",5,4.0,5.0,,3.0,2.0,3.0,v,o,v,Very good employer,Good team spirit and good colleagues,The pay isn't the best
704709,RSM,2020-11-01, Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2.0,4.0,5.0,5.0,4.0,4.0,x,r,r,Good place to start your career,"Employee benefits, office culture, nice people","Regularly working overtime, hard to measure success or performance"
704732,RSM,2020-11-13, Senior Auditor,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,1.0,3.0,,2.0,1.0,3.0,x,r,x,Not great,Good practical experience acquired on the job,Unreasonable overtime and Inadequate remuneration
704780,RSM,2020-12-07, Senior Accountant,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",5,5.0,4.0,4.0,4.0,3.0,5.0,v,o,r,Great firm,"Great firm, strong on team work, strong work-life balance","Minimal office interconnectivity, average wages"
705033,RSM,2021-02-25, Undergraduate Finance Associate,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",5,3.0,4.0,4.0,5.0,3.0,3.0,o,o,o,Undergraduate,Good Colleagues and good work environement,There is long hours daily and stressful days
706988,Rentokil-Initial,2018-03-01, Technician,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",1,1.0,1.0,,1.0,1.0,1.0,x,x,x,Avoid at all costs,None that i can think of,"I had several work accidents while working for Rentokil  a broken wrist which the  Managing Director of Asia Pacific  was asked to investigate and failed to do, also   one serious accident I fell through the roof  and  Rentokil mislead  the authorities management  falsified  the injury report  loss number /16/1036 told them i wasn't in hospital was not unconscious and the accident was a near miss 'Managing Director of Asia Pacific also  is aware employees with no license or training have used chemicals on clients properties 
It appears i am not the only employee that has been bullied like this"
707010,Rentokil-Initial,2018-05-16, Management,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",4,4.0,5.0,,4.0,4.0,5.0,v,v,v,Great place to work!!,Passionate people dedicated to common goals,Sometimes take on too many projects at once
707011,Rentokil-Initial,2018-05-16, Sales Manager,"Current Employee, more than 10 years","Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Fantastic Company to work for,"They invest in good employees that are loyal and work hard for the business
Training is second to none
They always look to promote from within the business that gives you as an employee a firm career path
Excellent values that are used by the entire management team",I cannot think of one con to be hnes
707042,Rentokil-Initial,2018-09-04, LSM,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,5.0,5.0,v,o,v,Local Service Manager,"The training opportunities at Rentokil-Initial are  great., They will guide you  to help you succeed. Great people and a great atmosphere, making it a pleasure to go to work. I have been with Rentokil-Initial for 9 months and wouldn't want to work anywhere else.",None that come to mind
707049,Rentokil-Initial,2018-09-06, Administrative,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Great Work Culture and Team Work,"Great team work.  I get to learn a variety of applications through fully provide training. The company keeps up with the latest technology which is sign the business is heading in the right direction.
The Managers are very approachable.","Nothing - happy here, friendly people .."
707086,Rentokil-Initial,2018-09-30, Craig Hannay,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",5,4.0,4.0,,4.0,4.0,4.0,o,v,o,Challenging role with lots of benefits,"I have been with this company  over 7 years , working in several different role`s across the business. The one thing that stands out for me is the spirit of the management team, and the constant support we all have for each other.","Fast paced company , and definitely one for the challenging."
707096,Rentokil-Initial,2018-10-10, Anonymous Employee,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,5.0,5.0,v,o,v,I have been working at Rentokil Initilal for more than 6 years,"Great company to work for giving opportunities to all employees, I have worked in 3 different roles. They listen to what you have to say and treat you as a valued member of the team, not just a number!",Don't have any worth mentioning
707169,Rentokil-Initial,2019-02-11, Key Accounts Manager,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",4,2.0,4.0,,5.0,5.0,5.0,v,v,v,Key account manager,My Team that uplifts me and helps each other out when needed,Too much work for one KAM
710893,Roche,2020-12-13, Sales Account Manager,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Great Company,Company is challenging it is accepting and has growth mindset,Cons can be found in any job and are considered personal
727710,SAP,2021-03-04, Account Executive,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",2,5.0,1.0,4.0,1.0,3.0,1.0,x,x,x,Just don’t go there,"Pay is good for graduate, kombucha in kitchen","Management, company culture of management promoting their children within the company"
727944,SAP,2021-03-21, Research Analyst,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",4,5.0,5.0,5.0,5.0,5.0,5.0,v,r,r,Good,"Great work ethics, helpful coworkers and great environment","Not many downsides, a job is a job"
728040,SAP,2021-04-01, Anonymous Employee,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Excellent to work for,"Flexible , pay well, smart and friendly employees, brilliant culture , truly care about the employees and customers, well developed software.","If you don’t have a customer first mindset and only want to sell for the commission, don’t work for SAP"
730516,Sage,2018-02-06, Legal Manager,"Current Employee, more than 5 years","North Rocks, New South Wales",5,5.0,5.0,,5.0,4.0,5.0,v,v,v,One Sage Family,Fantastic company with wonderful colleagues and flexible working environment. I have been here for 7 years and recommend others to join the Sage family.,"Notwithstanding its a global tech company, Sage needs to do more to bring its brand recognition to be on par with the likes of Apple and Samsung."
730796,Sage,2018-12-27, Anonymous Employee,"Former Employee, more than 8 years","Perth, Western Australia, Western Australia",1,2.0,1.0,,1.0,1.0,1.0,x,o,x,Failed to pay bonus,Not a good place to work,Sage failed to pay previous year's bonus to employees who resigned in the current financial year (worked for 3 months in the new financial year).
731161,Sage,2019-12-22, Software Engineer,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",2,2.0,2.0,,2.0,4.0,2.0,x,x,x,A good company gone bad.,"•	salary/ wages  are reasonable/ above average.
•	Colleagues I work with directly are friendly/ good to work with.
•	Flexible working conditions i.e. work from home
•	""Seemingly"" trying to resolve internal issues.","•	Under-staffed, under resourced and unreasonable project completion times causing pressures  from ""SLT"" (so-called senior leadership team)  that trickles down. This results in a stressful environment.
•	Focuses on quantity and not quality in the way of projects/ products. 
•	Confused agenda and strategy.
•	Self-interest/ blame  culture -  misaligned priorities (in departments and management) mean everyone is looking out for themselves. 
•	Time- wasting (redundant/ irrelevant meetings, admin tasks that are not meaningful) and bureaucracy (segregation in departments/ services not located locally) adds to difficulty in being productive or effective."
731305,Sage,2020-04-23, Programmer,Current Employee,"Perth, Western Australia, Western Australia",1,2.0,1.0,,2.0,3.0,1.0,x,r,v,Using power and privilege to exploit their staff in the face of a Pandemic,"Excellent Coffee machine
Friday lunches with colleagues
Parking
Social functions
Flexible working hours","I have worked for sage for over 15 years in the last 5 years the company has become an increasingly toxic work environment. 
Low morale among teams
Very limited product development 
Limited training.
Unrealistic and unattainable goals
Hierarchy of control from SLT
Pretends to encourage Open communication as long as you only say the ‘right thing’
Ridiculous amount of pointless meetings
Too many methods of internal communication resulting in data overload and missed comms.
Since the coronavirus staff have been informed that they will not receive any bonuses or pay increases, which is completely understandably and I agree with. However, Sage Australia have also decided to use the pandemic remove the annual leave liability to company. Staff receive 4 weeks annual leave. 1 week must be taken at Christmas. In face of the CoVid-19 staff are being 'forced' to use at least 2 weeks of their Annual leave during the winter months. This has been done inconspicuously with no official communication from the senior management team. 
Sage needs to start their employees as assets and not liabilities."
739564,Salesforce,2020-09-28, Solutions Engineer,Current Employee,"Perth, Western Australia, Western Australia",5,5.0,5.0,5.0,4.0,4.0,5.0,v,v,v,A great remote work experience,"Salesforce really seems to care about its employees. There are loads of great onboarding resources and plenty of support for a remote employee, like me. And the culture, team and enthusiasm are great.","None - seriously! 
Only typical remote worker reduced social interaction with a team who are mainly out of state (particularly over COVID - about structure, not the company), and the common US / San Francisco ""ra ra"" (as with every US company I've worked for)."
740251,Salesforce,2021-01-14, Head of Sales,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,great,"fun, energy, ssmart, sassy, fre e food","long hours, small team, resource"
745013,Serco-Group,2016-08-26, General Clerk,Former Employee,"Perth, Western Australia, Western Australia",1,2.0,1.0,,1.0,1.0,1.0,x,x,x,Worst employer I ever had,"I was able to work by myself and get my work done with minimal interruptions. The majority of people were friendly, except for the brown-nosers and the Management Team",Management continuously gave out mixed signals. Hypocritical and didn't practice what they preached. It was very frustrating working for a company with such high attitudes and no scruples.
745751,Serco-Group,2019-09-18, Customer Service Representative,"Current Employee, more than 3 years","Burwood, Victoria, Victoria",4,3.0,5.0,,1.0,2.0,3.0,v,r,v,Customer Service Officer,"Good work environment, friendly people, fun workplace","Not much growth opportunity, awful hours."
745773,Serco-Group,2019-10-30, Senior Facilities Manager,"Former Employee, more than 1 year","Derby, Western Australia, Western Australia",3,,,,,,,o,o,o,Interesting culture,"Good people, autonomy, travel and pays reasonably well.","Too much travel, lack of clarity on roles & accountabilities"
745953,Serco-Group,2020-10-03, DSO,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",2,2.0,2.0,2.0,2.0,2.0,2.0,x,r,r,....,great money to be earned,Management dont care about you
746144,Serco-Group,2021-02-03, Talent Acquisition Advisor,Current Employee,"Perth, Western Australia, Western Australia",4,4.0,4.0,4.0,4.0,3.0,4.0,v,v,v,.,Work life balance. Great opportunities,Ability to work from home.
746277,Serco-Group,2021-04-06, Service Officer,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,3.0,3.0,4.0,4.0,3.0,3.0,v,r,v,"Day goes quick, need better pay and hours",Days can go quick when you're not stuck behind a desk.,The company penny pinches when it comes to hours.
749257,Sodexo,2017-07-21, Anonymous Employee,Former Employee,"Balcatta, Western Australia",3,1.0,3.0,,5.0,3.0,3.0,x,v,r,Not as it seems in Remote Sites,"Opportunities to progress within company or transfer to another office
Equal opportunity employer","No work life balance
The culture - everyone looks out for themselves, a LOT of handballing goes on"
749691,Sodexo,2018-08-20, headchef,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1.0,1.0,,1.0,1.0,1.0,x,x,x,Headchef/catering manager,Nothing everyone I jave come cross says the same old things . Sucks!!,Higher management ONLY cars about them selves.!!poor workers no over time no care factor no actions taken handball all the issues to others. Rubbish waste time working for them
749813,Sodexo,2018-12-06, Office Worker,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",2,2.0,1.0,,1.0,2.0,1.0,x,r,x,Not a nice experience,My immediate team who were in the same role as me were amazing in every way. I would never have made it to 9 months in the organization without them.,"Middle management was appalling, bullying was rife and HR was disinterested to say the least.

When I started I was informed that the company had an annual training budget per employee per year, however despite me identifying numerous opportunities over the nine months I was there I received zero training or development opportunities.

Sole focus was on reaching targets, regardless of how that was done. There were times were middle management encouraged dubious and unethical behaviour to ensure targets were reached in order for the company to get a bonus.

They claimed to want people who were proactive and think outside the box, but in reality they wanted someone to sit at a desk and tick the box."
750533,Sodexo,2020-09-01, Service Attendant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",1,,,,,,,o,o,o,Working,Great resources available and great experience,No support from management during conflict
750611,Sodexo,2020-09-27, Data Engineer,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",4,4.0,4.0,,4.0,5.0,4.0,v,o,v,Good working experience,Good working environment and team,cant remember a negative note
750646,Sodexo,2020-10-08, Anonymous Employee,Former Employee,"Perth, Western Australia, Western Australia",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,r,Terrible place to work,"Great colleagues, pay ok but masked by very long hours","Absolute vile manager NO people skills. They spoke to me like I was dirt 
No training and expected to know how they handle their business which is concerning to the client if only they knew.
Don't work here if you don't want to be spoken to and treated like a dog. 
Very unprofessional for such a multi national"
750733,Sodexo,2020-11-08, Chef De Parties,Former Employee,"Perth, Western Australia, Western Australia",1,2.0,3.0,3.0,2.0,3.0,1.0,x,r,r,Sodexo review,"not bad salary
Good for work / exercise routine","poor management
Remote work
poor internet
small rooms"
750838,Sodexo,2020-12-10, Engineer,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",2,2.0,1.0,3.0,3.0,2.0,1.0,x,x,x,Sodexo review,Big company Multi National Company,Lack of leadership and Business plan
751292,Sodexo,2021-03-30, Service Attendant,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",3,2.0,4.0,5.0,3.0,3.0,4.0,v,r,r,entry level fifi via catering,exposure to remote sites and communities,only cons would be the low income and limited options for roster
751337,Sodexo,2021-04-12, Health and Wellness Coach,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,1.0,3.0,3.0,2.0,1.0,1.0,x,o,o,Wouldn't recommend,Great work crew thats about it!,"Salary, Little support or structure, Roster"
751414,Sodexo,2021-05-04, Senior Management Accountant,Current Employee,"Perth, Western Australia, Western Australia",5,5.0,5.0,5.0,5.0,2.0,5.0,v,o,v,,Global Presence around the world,Turnover of Personnel rather high
751418,Sodexo,2021-05-06, Customer Service Attendant,Current Employee,"Perth, Western Australia, Western Australia",3,1.0,3.0,3.0,2.0,2.0,2.0,x,o,o,It’s ok,Good team to work with,Not a family friendly roster
752091,Specsavers,2017-05-25, Optical Assistant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,5.0,4.0,,5.0,3.0,4.0,v,r,v,Lots to learn in an interesting job,Excellent career development program. Engaging with regular customers and helping them get the most out of their optical benefit. It's interesting if you're into healthcare and helping people overcome their medical problems.,"Most stores in WA are franchises so there is a large descrepancy between how stores are run, wages, bounuses etc."
752105,Specsavers,2017-08-06, Optical Assistant,"Current Employee, more than 1 year","Wetherill Park, New South Wales",3,2.0,3.0,,3.0,1.0,3.0,v,r,r,It's ok,The staff are helpful and easy to work with. The pay is also pretty good. The work isn't stressful or physically demanding,You have to stand all day. I have not received my benefit of a 'free pair of glasses' and wasn't told I would get that benefit until another staff member mentioned it. Hard to rise up in the ranks.
752552,Specsavers,2020-08-28, Optometrist,Current Employee,"Perth, Western Australia, Western Australia",4,,4.0,,,,,v,r,v,First job in this field,Good starting point into the industry,Better pay at different companies and difficult to specialise in different areas
752594,Specsavers,2020-10-13, Optical Assistant,"Current Employee, less than 1 year","Camberwell, Victoria, Victoria",4,5.0,5.0,5.0,5.0,5.0,5.0,o,o,o,Specsavers,"Challenging, very optical-related but fun.",Long hours but none in general
752618,Specsavers,2020-11-08, Optical Assistant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,3.0,3.0,4.0,4.0,4.0,2.0,v,r,r,A fast paced and sometimes challenging job,"Great incentives, good team environments, annual balls.",Being held liable for poor quality frames by customers.
752629,Specsavers,2020-11-28, Manager,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",2,3.0,3.0,4.0,3.0,2.0,3.0,v,o,v,Manager,Great team environment to work with,Can be quite repetitive doing the same thing every day
752801,Specsavers,2021-04-05, Optical Assistant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3.0,3.0,5.0,4.0,4.0,4.0,v,v,v,If you find the right store and the right partners it's a great work environment,"2 free pairs of glasses every year, great friends & family discounts.
Lovely & supportive team members.
Lots of room to grow if you're interested in self-development.","Specsavers stores are franchises so work environment can be very different. I've worked in a branch that was so awful and toxic. Store partners encouraged gossiping, enabled unprofessional behaviour, and were underpaying staff. In addition, the partners only cared about making money and would understaff the shop floor on purpose to make it more ""fun"" for everyone."
753726,Student-Loans-Company,2015-09-21, Assessor,"Current Employee, more than 3 years","Victoria, BC",2,3.0,2.0,,1.0,3.0,1.0,x,x,r,Assessor,"Flexible hours
28 days holiday pro-rata
Friendly staff
Nice offices","Only few development prospects 
Only sycophants climb up the ladder
Low wage for targets and objectives 
Pay freeze
Too many organisational changes yearly"
756869,Tesco,2016-06-17, Cashier,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,5.0,3.0,,1.0,4.0,2.0,v,o,o,Management issues,"Extra shifts available 
Pay 
Good training","Management are constantly changing 
They take advantage of hard workers whilst the lay staff get away with not doing much"
756875,Tesco,2016-06-20, Anonymous Employee,"Former Employee, more than 1 year","Kew, Victoria, Victoria",5,,,,,,,o,o,o,Associate Software Engineer,"Excellent working environment
lots of other activities
lots of opportunities and hike
excellent parking facility","lots of politics and poor management
cafeteria food is not so good"
771862,The-Salvation-Army,2015-03-17, Case Manager,"Former Employee, more than 3 years","Victoria, TX",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Allyson Reed,very good company to work for,great company to work for
772081,The-Salvation-Army,2015-12-29, Recruiter/Manager,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",1,2.0,1.0,,1.0,1.0,1.0,x,o,x,Not the place if you want to make a difference,"Worked with some excellent people who did actually want to help.
Will receive enjoyment from your role if are motivated by the stress of unrealistic expectations.","Disconnect from management to the people actually doing the work.
Priorities are not to help clientele but to service the government contract.
Candidates forced into programs that provide no benefit to gaining employment.
Mission statement/ values do not align to the reality of what management expect of their employees.
Remuneration is well below industry standards."
772594,The-Salvation-Army,2017-08-22, Case Manager,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",2,4.0,3.0,,2.0,1.0,3.0,x,r,x,Case Manager,Helping the needy with emergency services,"Low salary, positions are supported by donations. if donations low, position hours are cut or deleted."
772632,The-Salvation-Army,2017-09-24, Site Manager,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1.0,1.0,,1.0,1.0,1.0,x,o,x,Unbelievable,With the right senior management it could go a long way,"Current senior management in WA and further up there is so much ""targeting"" for their own mistakes"
