firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
McDonald-s,43921, Customer Service Representative,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",5,5,5,,2,2,5,v,r,v,great,good training program for employees,low pay and casual hours
McDonald-s,43922, Crew Member,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,4,,4,5,5,v,v,v,Great starter,"Great learning opportunity, in particular for younger workers","It is hard work, and often very tiring as you are on your feet all day"
McDonald-s,43924, Mcdonalds Crew Member,"Former Employee, more than 5 years","West Perth, Western Australia",4,4,4,,5,1,3,v,r,v,Good work experience,Friendly nature of everyone. Will make you learn with patience.,Will sometimes use you to do other work that's not yours actually.
McDonald-s,43941, Barista,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",3,5,4,,2,3,4,v,r,v,Good first job,"Good first job, very flexible with study/life, pay is okay. Avenues for career development (management program, ability to do TAFE certificates) really great.","Basic level job, very stressful at times."
McDonald-s,44041, Crew Member,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,4,5,,4,2,2,v,o,v,It was alright,0,"- A lot of customers will be difficult to handle
- There is a huge focus on numbers rather than the actual customer impact"
McDonald-s,44049, Crew Member,Current Employee,"Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,v,v,Good workplace,Reliable management and a fun work environment,Sometimes angry or rude customers
McDonald-s,44054, Cashier,Current Employee,"Mount Barker, South Australia, South Australia",4,4,4,,4,3,3,v,v,v,Great to start out,"Great staff, friendly customers, experience and decent pay",Not able to support me financially with this job alone
McDonald-s,44073, Macdonalds,Former Employee,"Perth, Western Australia, Western Australia",3,,,,,,,o,o,o,Ok,"Good for Experience , decent pay","Management is okay, lack of hours"
McDonald-s,44079, Unemployed,Current Employee,"Mount Barker, South Australia, South Australia",3,4,3,,3,3,4,v,r,r,McDonalds,Keeps you moving and you have to stay focused,"Dirty, stressful, Can’t fall behind levels or else"
McDonald-s,44107, Crew Member,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,5,2,5,4,3,3,v,r,x,Great place to work,Full support in growing inside the company,Petty behaviours by managers in terms of job
McDonald-s,44112, Crew Member,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1,2,3,4,1,2,x,o,x,Working at McDonalds,I received a 50% discount and free food.,"The managers were under-qualified, did not train staff properly and they treated crew members badly, did not care about members wellbeing only work."
McDonald-s,44119, Mcdonalds Crew Member,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",1,1,1,1,1,1,1,x,x,x,terrible place,there literally are not any,The whole package in its entirety
McDonald-s,44123, Barista,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,5,3,4,5,3,3,o,o,o,McCafe,Good people to work with,Minimal pay and sometimes your hours are manipulated
McDonald-s,44126, Crew Member,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",1,5,2,3,2,1,3,x,r,r,No dont,Half decent people and a pretty chill mood,Terrible working conditions and I was verbally abused by customers on a regular basis
McDonald-s,44129, Fast Food Worker,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",3,5,2,2,2,2,2,x,r,r,idk,good work experience in retail,low pay and poor management from managers
McDonald-s,44140, Mcdonalds Crew Member,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,4,3,4,5,3,5,v,v,o,Good,"You can get 50% discount when you're working. 

The wage is considered better if you're confuse choosing either maccas or family owned business restaurant, in my opinion.","When it gets super busy, you will have to multi task. 

If you're above 18+, they really don't give you that much shift on day time"
McDonald-s,44145, Crew Member,Current Employee,"Perth, Western Australia, Western Australia",3,3,3,3,3,2,2,v,r,v,Good experience,Good environment and friendly staff,Not enough working hours and not for adults
McDonald-s,44145, Mcdonalds Crew Member,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,4,4,5,5,4,3,v,v,v,good first job - challenging but you learn the value of money,"- good pay
- 20% staff discount
- good training
- learn new skills","- abusive customers.
- less shifts as you get older.
- difficult/unresponsive management"
McDonald-s,44146, Team Member,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,3,4,3,5,3,o,o,o,Good experience,"Long hours
Work life balance
Good pay",Not that I know of
McDonald-s,44164, Cafe Coordinator,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3,3,5,5,3,2,v,v,v,Great benefits less room for growth,Managerial training is really good if you want to climb up the ladder fast. also plus points in your resume a lot of relatable skills that are transferable to different customer centric industries.,"Low wage, management sometimes are disorganised."
McDonald-s,44167, Crew Member,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",1,1,1,1,1,1,1,x,o,o,my time at mcdonalds,nice people i worked with,"pay, managers treat you badly"
McDonald-s,44175, Crew Member,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",4,3,3,3,4,3,3,v,v,v,Good employer,It was a supportive environment and I felt like a contributed to the team.,The job was stressful at times. Sometimes cleanliness was not adequate
McDonald-s,44185, Team Member,Former Employee,"Perth, Western Australia, Western Australia",4,2,3,4,3,3,3,v,o,r,Alright,"Guaranteed shifts, pay is alright.",Work environment is not the safest (depending on your manager). Customers can be frustrating. Managers may cut corners which puts more stress on team member workers (like myself).
McDonald-s,44187, PhD Student,Former Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Working Conditions,The pros are that you get to be around other people.,However the 1 con that I can think of is the fact that at times it can be quite loud.
McDonald-s,44188, Restaurant Manager,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,McDonald's Restaurant Manager,"- Bonus opportunities 
- Training 
-Networking events",0
McDonald-s,44193, Crew Person,Current Employee,"Perth, Western Australia, Western Australia",3,,,,,,,o,r,o,my opinion,experience skills flexible reasonable pay,repetitive tiring long hours unhappy
McDonald-s,44207, Customer Service,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5,5,5,5,5,,v,r,v,Great,Food and great people team,Greasy and long hours to work
McDonald-s,44213, Student,Current Employee,"Perth, Western Australia, Western Australia",3,2,1,2,3,2,3,v,r,v,Conditons,Good money and coworkers usually,Not super good coworkers and working conditions
McDonald-s,44217, Sales Associate/Cashier,Former Employee,"Perth, Western Australia, Western Australia",4,,3,3,3,3,,v,r,r,It’s was suitable for my age,Great crew and employees and a very unique environment,Management was inconsistent in the field they where required
McDonald-s,44217, Unemployed,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,good,gives good money ok yea,the time to work was bad
McDonald-s,44232, Apprentice,Former Employee,"Perth, Western Australia, Western Australia",5,5,4,4,3,3,5,x,v,r,Apprentice,"Free uniform, discounts and parking",Smell of oil creating body odor
McDonald-s,44242, McDonalds Crew Trainer,Current Employee,"Perth, Western Australia, Western Australia",3,,,,,,,o,o,o,Alright,Fast pace experience in retail,Lack of potential advancement within stores
McDonald-s,44248, Crew Member,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,5,2,2,3,3,2,v,o,r,Best First Job,"- Great exposure to real work as a student
- Opportunity to make friends","- Pay not great
- Working environment entirely dependent on the manager"
McDonald-s,44251, Mcdonalds Fry Cook,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",2,3,2,5,5,2,1,x,r,x,Mcdonalds Grill/Fry,staff discount on your meals,it was gross and oily
McDonald-s,44252, Communications Officer,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Great experience,Learning to executive tasks in a time sensitive manner and exercise clear communication.,handling complaints from disgruntled customers
McDonald-s,44254, Crew Member,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",3,3,3,4,2,1,4,x,r,r,Ok,Flexible hours were a benefit,"Low pay , unprofessional working environment I.e. gossiping"
McDonald-s,44254, Mcdonalds Crew Member,Former Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,OK,having good friend you can relate to,stressful enviroment and poor mental health stability
McDonald-s,44265, Mcdonalds Crew Member,Current Employee,"Perth, Western Australia, Western Australia",4,5,4,4,3,3,3,o,o,o,Good payrate for adult employee,"Good Pay for work considered.
Flexible work hours",Limit of hours rostered after reaching adult age
McDonald-s,44276, Mcdonalds Crew Member,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",4,2,4,4,5,4,4,o,o,o,Was very good,"good pay rate, Good hifts","Night shifts, Work under presure"
McDonald-s,44279, Kitchen Hand,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,5,5,5,3,2,3,v,o,o,Great,Fantastic systems in place.A great way to begin your working career.,Burgers at better at hungry jacks
McDonald-s,44283, Crew Member,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,5,4,4,2,3,3,v,r,v,It was adequate,Extremely flexible with good training and good people,"Low skilled easy work, no challenge"
McDonald-s,44284, Production Area Leader,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3,3,4,2,3,4,v,o,v,"First jobs, alright if you know how to do your job.","Social Life
Good communication between crews.","Newer guys tend to be get left behind, and need alot of time to adjust."
McDonald-s,44285, Mcdonalds Crew Member,Current Employee,"Perth, Western Australia, Western Australia",5,3,3,5,4,4,4,v,r,v,I love my job,You get to help people. You work with others.,Sometimes customers are rude. Coworkers can be annoying.
McDonald-s,44294, Server,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",3,5,3,5,2,2,3,o,o,o,Good as a starter,"Fast pace, busy, flexible, good as a first job","Busy, slow kitchens, a lot of rude customers"
McDonald-s,44295, Cook,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Ok,"Great training, structure and growth","Smelly, lots of grease. Hours"
McDonald-s,44307, Crew Member,"Former Employee, more than 1 year","Braddon, Australian Capital Territory",5,5,5,5,3,3,5,v,v,v,Fun Place to work with Fun People,Very matured systematic place to work in. You can see that their SOP are matured over time to get to this stage,"Sometimes, they don't put many people on busy shifts. Hence you will need to be very fast and efficient."
McDonald-s,44308, Cashier,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",5,5,3,5,5,4,4,v,r,r,Great,"Helps build character, meet great people",Customers are a pain to deal with
McDonald-s,44314, Kitchen Crew,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3,2,3,3,3,2,v,r,r,overall i didnt enjoy working :(,"The pros are you can get 50% discount 30mins after and before your shift, including a 20% discount any time at any store.","the work can get stressful when busy, and sometimes the managers will give you no shifts for weeks. i guess it depends on the person but for me i didnt enjoy the atmosphere."
McDonald-s,44326, Software Engineer,Former Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Great place,Good benefits and big tech push,Some what slow to change
McDonald-s,44334, Crew Member,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",4,3,3,3,3,2,3,o,o,o,Goodnight,They are hard working and kind.,It is hard work and can be time consuming.
McDonald-s,44343, Crew Member,Current Employee,"Perth, Western Australia, Western Australia",3,,,,,,,o,o,o,guess its ok,0,0
McDonald-s,44343, Shift Supervisor,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",3,2,3,5,4,3,3,x,r,v,Good training opportunities,"Plenty of opportunity for advancement into junior management roles
Meal discounts
Some discounts at other retailers
Opportunity to learn Barista skills","Stressful
Rude customers
Sporadic hours
Low pay for the amount of work carried out"
McKinsey-and-Company,42178, Executive Assistant,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,2,4,,4,5,3,v,o,v,Overall good.,Great salary and benefits. Inspiring ideals.,Long hours resulting in limited family time.
Microsoft,44290, Senior Software Engineer,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",3,2,2,3,4,3,4,x,r,r,Good company to start your career,"Good working conditions, amazing remuneration",Corporate culture at its worst
Morgan-Stanley,40460, ,Current Employee,"Perth, Western Australia, Western Australia",4,4,,,5,3,4,v,r,o,MSSB,"Reputation of MSSB, career advancement, huge range of products and services offered, huge range of access to research, MSSB has a global advantage","It is such a large company, with so many other employees, Australia offices are not as large when compared with other local broking firms; sometimes a lot of ""layers"" to get through to get something done."
Morgan-Stanley,43904, Payroll Officer,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",3,5,5,,4,5,4,v,o,v,I work at Programmed but it doesn’t come up in your list,Flexible work hours and good work/life balance,Pay is low and not in city
Morgan-Stanley,44152, Executive Director,"Former Employee, more than 10 years","Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,amazing people and culture,"You can work with fantastic people, it makes you grow.","for a global role, there are a lot lot of hours"
Nando-s-UK-and-IRE,43713, Kitchen Staff,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,4,,2,3,4,v,r,r,Good place for a part time job,People there are pretty nice. And staff discount is good.,A little bit tired when it is busy. But I think it is all the same for the restaurant.
Novotel-Hotels,43784, Food and Beverage,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,o,v,Accor Hotels - One of the best hospitality group to work with,"Good culture, friendly team and management",Nothing at the moment
Novotel-Hotels,44282, Supervisor Food and Beverage,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Not too bad,"Supported environment, nice hotels, good location","Repetitive work, new management, hard to move"
Oracle,40262, Technology Consulting,Current Employee,"Perth, Western Australia, Western Australia",4,3,,,4,4,4,v,v,o,Enjoyable....,"Can-Do Attitude, Wealth of information, Anything is possible, Life is not boring with all the acquisitions, Some flexibitily","Management is not empowered, Still in it's infancy when it comes to Business Consulting and Enterprise Architecture"
Oracle,42878, ,Current Employee,"Perth, Western Australia, Western Australia",3,4,4,,4,3,3,v,v,o,lead apps dba,"Good work life balance.
Good opportunity to learn new technology.",Salary is not upto industry standard
Pearson,44018, Test Administrator,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,2,,1,3,2,v,r,r,"Good, flexible","Excellent pay, friendly staff, flexible hours","Difficult management, lack of effective communiation"
PwC,40249, Senior Consultant,Current Employee,"Perth, Western Australia, Western Australia",3,4,,,3,3,5,v,r,o,Strategy Consulting,Working with some really bright people and have had the opportunity to work on some really varied and interesting projects. Opportunities to work interstate for those who seek it and also frequent exposure to senior people within the companies we consult for.,Business is still in its embryonic stages and it can frustrating at times when we are labelled as accountants. Remunerated quite well within the PwC business but not as impressively when compared to our strategy peers that we are competing with.
PwC,41041, ,Former Employee,"Perth, Western Australia, Western Australia",2,2,,,2,2,3,x,r,o,Depressing and uninspiring,Brand name institution. Building up its consulting practice.,Will always be an accounting firm
PwC,41851, Manager,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3,3,,3,3,3,v,r,r,Good place to work,"Variety, good team and interesting work.",Poor people management around company wide changes to staff
PwC,41860, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,3,4,,5,3,4,o,v,r,good place to get experience,a big firm with lots of opportunities,low salary and always work overtime
PwC,42011, Risk Assurance Associate,Former Employee,"Perth, Western Australia, Western Australia",3,5,4,,2,3,3,o,o,o,Good work life balance,"Good work life balance
Friendly employees",Not as challenging in my role
PwC,42108, Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,4,5,,5,4,4,v,o,v,Consultant,Client exposure is by far the best part of the job. Also excellent advancement opportunities if you are willing to work hard and stand out from the pack.,"Remuneration is lower than at MBB consultancies and the brand is not as prestigious. Some of the apprenticeship model aspects are not as strong given there is a lower technical quality in general. However, people skills are far better."
PwC,42302, Senior Consultant,Former Employee,"Perth, Western Australia, Western Australia",2,1,2,,2,2,3,x,r,r,Senior Consultant,Access to training. Large number of teams and easy to win work off the back of the well-known brand name.,Bureaucratic and inefficient processes .
PwC,42305, Senior Manager Consulting,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3,5,,4,3,4,v,v,x,Great culture but kpi focus,Much less formal than other consulting companies with the opportunity to bring new ideas and have them seriously considered by the partners,Fixation on util but not the mechanisms to support the winning of work to ensure util remains high. The goal of partnership is held out as achievable but really there is an incentive to minimise the number of new partners
PwC,42396, Senior Consultant,Former Employee,"Perth, Western Australia, Western Australia",4,4,4,,3,3,4,v,v,r,"Good team, impacted by MBB entering","Young, fun and smart team, had variety of work, slowly becoming more focused on specific areas and the city evolves and grows
Was a strong focus on two sectors at the expense of others","Impacted by MBB entering the city which took most of the fun/high end strategy work, pushing PwC to more mid-tier or less strategic work"
PwC,42497, ,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3,5,,5,2,4,o,o,o,"Good job, average pay",0,0
PwC,42811, Transfer Pricing Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,,,,,,,o,o,o,Transfer Pricing,"- Good training
- Nice office
- Relaxed environment","- Long hours
- Poor culture"
PwC,42822, Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2,3,,4,3,2,x,r,x,Consultant,"- Great people
- Great opportunities
- Good team events and workshops","- Mentally straining work, PwC expects you to give 100% of your effort including some late nights
- Wage is considerably low compared to your expected effort, expertise and commitment"
PwC,42926, Senior Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,2,5,,5,3,4,v,v,o,Senior Consultant,Learning opportunities and Industy exposure and Culture,Ability to recruit due to the national model
PwC,42933, Anonymous Employee,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,4,4,,4,4,4,v,r,v,Dream higher,For I can build a new folder in your company which is moulded with the high updated course in technology.,I haven't got experience at the moments
PwC,43018, Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3,4,,5,3,3,v,v,v,Management Consultant,"Experience, training, mentoring, work relevance","Long hours, politics, doing projects you don't want to"
PwC,43171, Graduate,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,4,,5,3,4,o,o,o,Graduate - Audit & Assurance,High quality resources always available working in a large firm.  Access to large companies and working with high ranking corporate clients from early on.  Collaborative working space broke down barriers between junior and senior staff.,"If you don't get placed on one or two large clients, can end up getting thrown around doing bits and pieces with no continuity, which i found in audit hindered your learning ability."
PwC,43193, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,3,1,,3,1,3,v,v,v,Snr con assurance,"Flexible working conditions 
Exposure to big clients","Bad pay package 
Over worked"
PwC,43474, Senior Consultant,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",4,2,3,,4,2,2,x,x,x,,Great learning opportunity for a graduate,"No work life balance, Pay is poor for the hours worked"
PwC,43509, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,5,5,,4,5,5,v,v,x,Great company to work for,"Learning and development
Work life balance",Progression opportunities can be limited
PwC,43583, Financial Advisor,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,5,5,,4,4,5,o,o,o,Great Place,Great place to work for very family oriented.,I can't think of any cons at the moment
PwC,43682, Manager,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,4,4,,4,4,4,v,v,v,Good,Good People in my Team,Salary is not competitive with Market standards
PwC,43682, Tax Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,4,3,,3,3,2,o,o,o,Pros and Cons,Flexible working. Training provided etc,Underpaid and below market rate
PwC,43685, Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3,3,,3,2,3,v,r,r,Mixed feelings,"Flexible working, great reputation and brand, good training, generally good culture across firm, a lot of young people","Fairly high turnover of staff in tax team, low salary for juniors, barriers between juniors and seniors/partners in tax team, culture in team currently low"
PwC,43854, Associate,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5,5,,5,3,5,v,v,v,PwC associate,Great work culture and positive support through out the firm.,Starting salary may not represent the work load you have.
PwC,43895, Vacationer,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Loved my time at PwC and cant wait to come back,"Friendly 
Approachable staff from juniors to the partners. 
Hot desking actually works at PwC and is for all staff including the partners.
Flexible working & understanding of peoples out of work commitments.
Great ongoing training and support","$$$
Can have periods of intense work and long hours
I don’t have anything else negative to say"
PwC,43935, Economist,Former Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Good place to start your professional career,Great place to learn how to work. Interesting projects and clients.,Wages. Amount of work in peak period.
PwC,43989, Manager,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,2,5,,4,3,3,o,o,v,Manager at PwC,"good benefits, interesting work, opportunties in social impact","Long hours, culture sometimes is brutal"
PwC,44011, Senior Manager,Current Employee,"Perth, Western Australia, Western Australia",3,4,3,,2,2,1,x,o,v,Beaureaucratic,Good work and team culture,They dont pay well compared to industry
PwC,44125, Manager,Current Employee,"Perth, Western Australia, Western Australia",3,4,3,3,3,3,3,v,r,v,PwC,"Flexible working, technical learning and brand name","Internal politics, incompetence in some staff"
PwC,44136, Tax Advisor,Current Employee,"Perth, Western Australia, Western Australia",4,2,4,4,4,2,4,v,v,v,Good learning opportunity - low pay,"Great and fun environment to learn quickly, surrounded by youthful and vibrant team",Poor pay so would recommend seeking employment elsewhere after 2-3 years.
PwC,44148, Microsoft Dynamics 365 F & O Functional Consultant,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Review,"Good company that takes care of it's people, great culture and drive for continuous learning.","Nothing much really, fingers crossed you get a manager that cares as much for your career development like you do."
PwC,44222, Senior Manager,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Decent place to work,Good benefits and generally nice people,Churn of junior staff members
PwC,44244, Internal Auditor,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,3,3,3,3,3,3,v,o,v,good,very good and helpful employer,nothing. very good experience altogether
PwC,44266, Senior Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,*,Comes with wellness and health benefits,Long working hours and intense workload
PwC,44284, Senior Accountant,"Former Employee, more than 8 years","Perth, Western Australia, Western Australia",5,1,3,3,5,3,3,v,r,v,Great opportunities.,Great opportunities on large clients.,Nil work life balance. Not ideal for working parents
PwC,44286, Management Consultant Associate,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3,4,4,4,3,3,v,v,v,Great firm,Diverse project and industry experience,Culture is driven around getting promoted away from solving problems
PwC,44292, Graduate Accounting Position,Current Employee,"Perth, Western Australia, Western Australia",5,5,5,5,5,5,5,v,v,r,Great scheme to train new fellows,"Various resource is available when needed, strong team support from different industries.","Intensive working schedule, high demand of good time management and numerical skills."
RSM,43163, Manager,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",3,4,3,,4,2,3,o,o,v,Ok,"Generally a good environment 
Worked with a great team",low pay with very poor growth in salary
RSM,43372, Anonymous Employee,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",4,4,3,,3,3,3,v,v,r,Overall a positive experience.,"Supportive environment, acknowledged the importance of family commitments which was significant as a working parent.

Personal goals, such as completion of post-graduate studies also encouraged and supported.","Favouritism amongst managers with work often being distributed to the favoured few rather than according to current capacity.

Lack of support in achieving some goals set during annual review process."
RSM,43684, Senior Accountant,"Former Employee, more than 8 years","Perth, Western Australia, Western Australia",3,2,2,,1,1,2,x,r,r,Good place to complete your CA program and move on.,Worked with a great bunch of people. Good CA program.,The pay!! RSM are one of the worst paying firms in the industry. Management too set in their ways!
RSM,43691, Audit Senior,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",4,2,3,,4,3,2,o,o,o,Great start to an accounting career,"People you work with
Chartered Accountant degree support
Secondment opportunities",Salary is lower than market and work hours are long most of the year
RSM,43913, Paraplanner,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,4,,4,4,4,v,o,v,Employment at RSM Australia,A great place to be a part of that is globally recognised,No cons that I can think of
RSM,43983, Graduate Auditor,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,v,v,Great,"Work, people, balance, opportunities, office",Nothing really seams great so far
RSM,44136, Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2,4,5,5,4,4,x,r,r,Good place to start your career,"Employee benefits, office culture, nice people","Regularly working overtime, hard to measure success or performance"
RSM,44148, Senior Auditor,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,1,3,,2,1,3,x,r,x,Not great,Good practical experience acquired on the job,Unreasonable overtime and Inadequate remuneration
RSM,44172, Senior Accountant,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",5,5,4,4,4,3,5,v,o,r,Great firm,"Great firm, strong on team work, strong work-life balance","Minimal office interconnectivity, average wages"
RSM,44252, Undergraduate Finance Associate,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",5,3,4,4,5,3,3,o,o,o,Undergraduate,Good Colleagues and good work environement,There is long hours daily and stressful days
Rentokil-Initial,43160, Technician,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",1,1,1,,1,1,1,x,x,x,Avoid at all costs,None that i can think of,"I had several work accidents while working for Rentokil  a broken wrist which the  Managing Director of Asia Pacific  was asked to investigate and failed to do, also   one serious accident I fell through the roof  and  Rentokil mislead  the authorities management  falsified  the injury report  loss number /16/1036 told them i wasn't in hospital was not unconscious and the accident was a near miss 'Managing Director of Asia Pacific also  is aware employees with no license or training have used chemicals on clients properties 
It appears i am not the only employee that has been bullied like this"
Rentokil-Initial,43236, Management,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",4,4,5,,4,4,5,v,v,v,Great place to work!!,Passionate people dedicated to common goals,Sometimes take on too many projects at once
Rentokil-Initial,43236, Sales Manager,"Current Employee, more than 10 years","Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,v,v,Fantastic Company to work for,"They invest in good employees that are loyal and work hard for the business
Training is second to none
They always look to promote from within the business that gives you as an employee a firm career path
Excellent values that are used by the entire management team",I cannot think of one con to be hnes
Rentokil-Initial,43347, LSM,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,o,v,Local Service Manager,"The training opportunities at Rentokil-Initial are  great., They will guide you  to help you succeed. Great people and a great atmosphere, making it a pleasure to go to work. I have been with Rentokil-Initial for 9 months and wouldn't want to work anywhere else.",None that come to mind
Rentokil-Initial,43349, Administrative,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Great Work Culture and Team Work,"Great team work.  I get to learn a variety of applications through fully provide training. The company keeps up with the latest technology which is sign the business is heading in the right direction.
The Managers are very approachable.","Nothing - happy here, friendly people .."
Rentokil-Initial,43373, Craig Hannay,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",5,4,4,,4,4,4,o,v,o,Challenging role with lots of benefits,"I have been with this company  over 7 years , working in several different role`s across the business. The one thing that stands out for me is the spirit of the management team, and the constant support we all have for each other.","Fast paced company , and definitely one for the challenging."
Rentokil-Initial,43383, Anonymous Employee,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,o,v,I have been working at Rentokil Initilal for more than 6 years,"Great company to work for giving opportunities to all employees, I have worked in 3 different roles. They listen to what you have to say and treat you as a valued member of the team, not just a number!",Don't have any worth mentioning
Rentokil-Initial,43507, Key Accounts Manager,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",4,2,4,,5,5,5,v,v,v,Key account manager,My Team that uplifts me and helps each other out when needed,Too much work for one KAM
Roche,44178, Sales Account Manager,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Great Company,Company is challenging it is accepting and has growth mindset,Cons can be found in any job and are considered personal
SAP,44259, Account Executive,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",2,5,1,4,1,3,1,x,x,x,Just don’t go there,"Pay is good for graduate, kombucha in kitchen","Management, company culture of management promoting their children within the company"
SAP,44276, Research Analyst,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",4,5,5,5,5,5,5,v,r,r,Good,"Great work ethics, helpful coworkers and great environment","Not many downsides, a job is a job"
